,Title,Price,No. Reviews,Display size,Storage type,CPU Speed,RAM,Rating,Brand,graphics,Processor
47,"New Quad Turbo Laptop, AMD RX Vega Graphics, HD SSD, 4GB Ram, Long Batt Life, Win 10 Pro, Office 2019 Pro Plus",398.88,2,14.0,SSD,3.6,4,5.0,other_brand,1,amd
48,"Dell G3 15.6 inch FHD 120Hz 250nits WVA LED Backlit Narrow Border Display Gaming laptop, Intel Core i5-10300H, 8 GB RAM, 512 GB SSD, NVIDIA GTX 1650 4GB GDDR6, Nahimic 3D Audio, Win 10 Home",699.0,46,15.6,Flash Memory Solid State,4.5,8,4.2,dell,1,i5
49,"ASUS VivoBook with Microsoft Office 365 A416JA Full HD 14 inch Laptop (Intel Core i3-1005G1, 4GB RAM, 128GB PCIe SSD, Windows 10) Includes 1 year Microsoft Office Subscription",399.99,135,14.0,SSD,1.2,4,4.1,asus,0,i3
50,"Dell Inspiron 17 3000 series 17.3 Inch FHD (1920 x 1080) Anti-Glare LED-Backlit Laptop Intel Core i5-1035G1 10th Gen, 8GB RAM, 128GB SSD + 1TB HDD, nVidia MX230 2GB, Windows 10 Home, Silver",799.0,337,17.0,SSD,3.6,8,4.3,dell,1,i5
51,"CHUWI HeroBook Pro+ Laptop, 13.3-inch 3K (3200x1800) IPS Display, Intel Celeron J3455 Processor, 8GB RAM, 128GB EMMC, Windows 10 Home, 4K Video Decoding, 2.4G/5G WiFi, BT5.0, HDMI, Gray",299.0,272,13.3,SSD,1.5,8,4.0,other_brand,0,unknown
52,"Acer Aspire 5 A515-56 15.6 inch Laptop - (Intel Core i5-1135G7, 8GB RAM, 1TB SSD, Full HD Display, Windows 10, Black) - Amazon Exclusive",699.99,348,15.6,Flash Memory Solid State,4.2,8,4.4,acer,0,i5
53,"CHUWI HeroBook Pro+ Laptop, 13.3-inch 3K (3200x1800) IPS Display, 8GB RAM, 128GB EMMC, Intel Celeron J3455 Processor, Windows 10 Home, 2.4G/5G WiFi, BT5.0, HDMI",279.0,485,13.3,SSD,1.5,8,4.0,other_brand,0,unknown
54,"ASUS VivoBook X413JA 14 inch Full HD Laptop (Intel Core i5, 8GB RAM, 512GB SSD, Wi-Fi 6, Windows 10)",529.99,135,14.0,SSD,1.0,8,4.1,asus,0,i5
55,"HP 250 G7 15.6-inch Laptop, Intel Core i7-1065G7, 32 GB RAM, 1 TB SSD, Windows 10 Pro",1179.0,7,15.6,SSD,3.9,32,4.1,hp,0,i7
56,"11.6"" Full HD Windows 10 Laptop - 4GB RAM, 64GB Storage, Intel 64-bit USB 3.0, Supports 256GB tf-card",209.95,69,11.6,EMMC,2.4,4,3.8,other_brand,0,unknown
57,Lenovo ThinkPad T440 Laptop PC - 14.1in i5-4300U 8GB 240GB SSD WiFi WebCam USB 3.0 Windows 10 Professional 64-bit (Renewed),355.0,486,14.1,SSD,1.9,8,4.3,lenovo,0,i5
58,"Lenovo IdeaPad 1 14'' Laptop (AMD Processor, 4GB RAM, 64GB Storage, Windows 10S) - Platinum Grey",295.0,182,14.0,EMMC,2.8,4,4.6,lenovo,0,amd
59,"Lenovo V145 A6 15.6-inch Laptop, AMD A6-9225, 8GB RAM, 1TB HDD , DVD+RW, Windows 10 Pro",459.0,35,15.6,Others,2.6,8,4.2,lenovo,0,amd
60,"ASUS TUF Gaming FX506LI 15.6"" Full HD 144Hz Gaming Laptop (Intel i5-10300H, NVIDIA GeForce GTX 1650Ti, 8 GB RAM, 512 GB SSD, Windows 10), Black",729.99,124,15.6,Flash Memory Solid State,2.5,8,4.4,asus,1,i5
61,"ASUS ZenBook UM433DA 14 inch Full HD 300nits Laptop (AMD Ryzen 7, 16GB RAM, 512GB SSD, Backlit Keyboard, Windows 10) Includes LED NumberPad",729.99,103,14.0,SSD,2.3,16,4.4,asus,0,amd
62,"HP Pavilion 15-dk1007na 15.6 Inch Full HD Gaming Laptop - (Shadow Black) (Intel Core i5-10300H, NVIDIA GeForce GTX 1650 Ti (4 GB Dedicated) Graphics, 8 GB RAM, 512 GB SSD, Windows 10 Home)",799.0,455,15.6,Flash Memory Solid State,2.5,8,4.7,hp,1,i5
63,"2020 15.6 inch notebook computer, IPS display, Intel 64-bit quad-core　celeron_j3455 processor, 8GB RAM, 256GB SSD, scalable 1TB SSD solid state drive, 10000mAh high battery life, Windows 10",348.0,116,15.6,SSD,1.5,8,3.8,other_brand,0,unknown
64,"15.6 inch Laptop, IPS display, Intel 64-bit quad-core celeron_j3455 processor, 8GB RAM, 256GB SSD, scalable 1TB SSD solid state drive, Chocolate keyboard, Windows 10 Pro",329.99,16,15.6,SSD,1.5,6,3.5,other_brand,0,unknown
65,"CHUWI GemiBook Ultra Thin Laptop, 13-inch FHD (2160x1440) 4K Video Display, Intel Celeron J4115 Processor, 12GB RAM, 256GB Storage, Windows 10 Home, Gray",399.0,69,13.0,SSD,1.8,12,4.4,other_brand,0,unknown
66,"Microsoft Surface Laptop 3 Ultra-Thin 13” Touchscreen Laptop (Platinum) - Intel 10th Gen Quad Core i5, 8GB RAM, 128GB SSD, Windows 10 Home, 2019 Edition",770.0,353,13.0,SSD,2.1,8,4.6,other_brand,0,i5
67,"13.3 Inch Laptop TECLAST F6S Windows 10 Laptop, 8GB +128GB Ultrabook, Intel N3350 CPU, 1920x1080 FHD Display, Support 4K Video, SSD&Micro SD Expansion, 18 mm Keyspacing, 2.4G+5G WiFi BT 4.2 USB 3.0",309.99,6,13.3,SSD,1.1,8,4.8,other_brand,0,unknown
68,"Lenovo X230 (12in Laptop) [Intel Core i5 3320M 2.60GHz, 8GB Memory, 256GB SSD,with Windows 10 Professional (Renewed)",260.0,544,12.0,SSD,2.6,8,4.3,lenovo,0,i5
69,"Dell Latitude E5440 14in Business Laptop Computer, Intel Core I5-4300U up to 2.9GHz, 8GB RAM, 256GB SSD, HDMI, DVDRW, 802.11ac WiFi plus BT, Windows 10 Professional (Renewed)",359.99,41,14.0,SSD,1.9,8,3.7,dell,0,i5
70,"ASUS M509 15.6-inch Laptop, AMD Ryzen 3 3250U, 20 GB RAM, 256 GB SSD, Windows 10 Pro",599.0,8,15.6,SSD,3.5,20,4.5,asus,0,amd
71,"Lenovo IdeaPad 1 11'' Laptop - AMD 3020e Processor, 4GB RAM, 64GB Storage, Windows 10S, Ice Blue",238.0,83,11.6,EMMC,1.2,4,4.5,lenovo,0,amd
72,"ASUS ZenBook UX425EA 14 inch Full HD 300nits Laptop (Intel i7-1165G7, 16GB RAM, 512GB SSD, 32GB Intel Optane Memory, Backlit Keyboard, Windows 10) Includes USB-C to audio jack adapte",949.99,103,14.0,SSD,2.8,16,4.4,asus,0,i7
73,"HP Stream 14-cm0045na 14 Inch Laptop - (Blue) (AMD A4-9125 Dual Core, 4 GB RAM, 64 GB eMMC, 1 TB OneDrive and Office 365, 1 Year Subscription Included, Windows 10 Home)",399.0,464,14.0,Others,2.3,4,4.4,hp,0,amd
74,"New Lenovo Quad Turbo Laptop, 8GB RAM, 256GB SSD, RX Vega Graphics, Win 10 Pro, Office 2019",638.88,46,15.6,SSD,3.3,8,4.9,other_brand,1,unknown
75,"HP EliteBook 820 G1 12-inch Ultrabook Laptop PC (Intel Core i5-4300U, 8GB RAM, 180GB SSD, WiFi, WebCam, Windows 10 Professional 64-bit) (Renewed)",319.98,59,12.5,SSD,2.3,8,4.2,hp,0,i5
76,"Lenovo V145 A6 15.6-inch Laptop, AMD A6-9225, 16GB RAM, 480GB SSD, DVD+RW, Windows 10 Pro",499.0,10,15.6,SSD,2.6,16,3.6,lenovo,0,amd
77,"HP Envy 13-ba0010na 13.3-Inch Full HD Touch-screen Laptop (Natural Silver) (Intel Core i7-10510U, 16 GB RAM, 1 TB SSD, NVIDIA GeForce MX350 (2 GB Dedicated Graphics), Windows 10 Home)",1149.99,350,13.3,Flash Memory Solid State,1.8,16,4.4,hp,1,i7
78,"Dell Inspiron 3501 15.6 Inch FHD (1920 x 1080) Laptop, Intel Core i5-1135G7 Processor (4.2 GHz), 8 GB RAM, 512 GB NVMe SSD, Waves MaxxAudio Pro, Windows 10 Home",649.0,60,15.6,Flash Memory Solid State,4.2,8,4.5,dell,0,i5
79,"ASUS ZenBook Flip UM562IA 15.6 inch Full HD Touchscreen Laptop (AMD Ryzen 7-4700U, 16GB RAM, 512GB SSD, Backlit Keyboard, Windows 10) Includes Stylus Pen",899.99,11,15.6,SSD,2.0,16,3.9,asus,0,amd
80,"Lenovo V15 ADA 15.6"" Laptop - Ryzen 3 2.6GHz CPU, 8GB RAM, Radeon, Windows 10",440.92,188,15.6,SSD,2.6,8,4.5,lenovo,0,unknown
81,"HP 255 G7 (1B7K2ES#ABU) 15.6"" Full HD Laptop (Dark Ash Silver) (AMD Ryzen 5-3500U, 8GB RAM, 512GB SSD, Windows 10 Home)",655.98,85,15.6,SSD,2.6,8,4.6,hp,0,amd
82,"Gigabyte AERO 15-YC 15.6"" Laptop, UHD, AMOLED, Intel Core i9-10980HK, 64GB DDR4, 2x1TB NVMe SSD, NVIDIA GeForce RTX 3080 Max-Q GDDR6 8GB, Windows 10 Pro",4199.0,1,15.6,SSD,5.3,64,2.0,other_brand,1,i9
83,"ASUS VivoBook with Microsoft Office 365 - L410MA 14 inch Full HD Metal Laptop (Intel Pentium N5030, 4GB RAM, 64GB eMMC, Windows 10 S) - Includes LED NumberPad, Blue",337.94,209,14.0,EMMC,3.1,4,4.5,asus,0,unknown
84,"Dell Inspiron 5000 14.0-inch FHD WVA LED-Backlit 2-in-1 Laptop, Intel Core i3-1115G4, 4 GB RAM, 256 GB SSD, MaxxAudio Pro, Windows 10 Home",549.0,170,14.0,SSD,4.1,4,4.4,dell,0,i3
85,"Acer Swift 1 SF114-33 14 inch Laptop - (Intel Pentium N6000, 4GB RAM, 128GB SSD, Full HD Display, Windows 10 in S Mode, Gold)",399.99,370,14.0,Flash Memory Solid State,2.5,4,4.6,acer,0,unknown
86,"Jumper 11.6 inch Touch screen Laptop 6GB DDR3 128GB ROM 360 Degree Touchscreen computer Windows 10 Intel Celeron Quad Core Processor,Tablet PC Supports 256GB TF Card Expansion",319.99,292,11.6,EMMC,1.1,6,4.1,other_brand,0,unknown
87,"Alienware Area 51m R2 17.3 Inch FHD Gaming Laptop, Intel Core i9-10900K, 144 Hz 9 ms 300-nits Display, 16 GB RAM, 512 SSD + 1 TB HDD, NVIDIA GeForce RTX 2080 SUPER 8 GB GDDR6, Win 10 Home",3346.12,39,17.3,Flash Memory Solid State,5.3,16,4.2,other_brand,1,i9
88,"HP 250 G7 15.6-inch Laptop, Intel Core i7-1065G7, 16 GB RAM, 1 TB SSD, Windows 10 Pro",990.03,2,15.6,SSD,3.9,16,5.0,hp,0,i7
89,"Lenovo V14 14"" Ryzen 3 4GB 256GB W10H 1Y Dep",398.99,24,14.0,SSD,2.6,4,4.5,lenovo,0,unknown
90,"New ASUS Quad Turbo Laptop, 4GB RAM, SSD, HD, Windows 10 Pro, Office 2019, V Long Battery Life",424.44,14,14.0,SSD,3.0,4,4.8,other_brand,0,unknown
91,"CHUWI GemiBook Pro Laptop, 14-inch 2K IPS Display, 12GB RAM, 256GB SSD, Intel Celeron J4125 Processor, Windows 10 Home, Long-Lasting Battery, Fast Charge, Backlit Keyboard, Gray",439.0,69,14.0,SSD,2.7,8,4.4,other_brand,0,unknown
92,"HP Stream 14s-fq0020na 14 Inch Laptop, White (AMD Athlon 3020e, 4 GB RAM, 64 GB eMMC, Windows 10 Home S) - Microsoft 365 (12 Month Free Subscription Included)",389.0,480,14.0,EMMC,1.2,4,4.6,hp,0,amd
93,"2020 Thin and light notebook,15.6 inch Laptop, IPS display, Intel 64-bit quad-core celeron_j4115 processor, 8GB RAM, 256GB M.2 SSD,Chocolate keyboard, Windows 10",368.0,21,15.6,SSD,1.8,8,4.2,other_brand,0,unknown
94,"HUAWEI MateBook X Pro 2020 Laptop, 13.9 Inch Full View Touchscreen Ultrabook, 10th Gen Intel i5 10210U , 16GB RAM, 512GB SSD, NVIDIA® GeForce® MX250, HUAWEI Share, Windows 10 Home, Space Grey",849.99,230,13.9,Flash Memory Solid State,4.2,16,4.6,other_brand,1,i5
95,"Jumper EZbook X3 Laptop Windows 10 Thin and Light Laptop 13.3-Inch FHD PC Computer, Intel Quad-Core CPU 8GB RAM 128GB eMMC Supports up to 128GB TF Card and SSD Expansion",274.99,1081,13.3,EMMC,1.1,8,4.3,other_brand,0,unknown
96,"Lenovo V145 15.6"" Laptop - AMD A6 2.6GHz CPU, 8GB RAM, 256GB SSD, DVD",384.97,25,15.6,SSD,2.6,8,3.8,lenovo,0,amd
97,"Dell Inspiron 5000 14.0-inch FHD WVA LED-Backlit 2-in-1 Laptop, Intel Core i7-1165G7, 16 GB RAM, 512 GB SSD, MaxxAudio Pro, Windows 10 Home",905.06,170,14.0,SSD,4.7,16,4.4,dell,0,i7
98,"15.6 inch Laptop (Intel J4105 64-bit, 8GB DDR4 RAM, 256GB SSD, 10000mAH battery, HD webcam, Windows 10 Pro OS Preinstalled, 1920 * 1080 FHD IPS display) with independent numeric keypad",355.99,54,15.6,SSD,1.5,8,3.0,other_brand,0,unknown
99,"New-DELL Ryzen 5 Quad Turbo 3.7GHz!! Laptop, RX Vega 8 Graphics, 8GB RAM, 256GB SSD, Long Batt Life, Win 10 Pro, Office 2019 Pro Plus for life",618.88,6,15.6,SSD,3.7,8,5.0,other_brand,1,unknown
100,"iProda Laptop 14 inch, Intel Core i3-6157U @ 2.4GHz Dual Core Processor FHD 1080*1920,8 GB RAM,256 GB SSD,Windows 10 Pro Notebook",379.99,11,14.0,SSD,2.4,8,3.1,other_brand,0,i3
101,"2021 15.6-inch Laptop 8G + 256G Intel celeron J4115 high-Performance Quad-core CPU,wireless online 2PCS 4500mAh Work continuously for 6-8 Hours, WiFi, HDMI, Bluetooth 4.0, Windows 10 ( silvergray)",368.0,19,15.6,SSD,2.0,8,3.8,other_brand,0,unknown
102,"Lenovo IdeaPad 1i 11.6 Laptop - Intel Celeron N4020 Processor, 4GB RAM, 64GB Storage, Windows 10S,Ice Blue + Office 365 Personal",249.0,6,11.6,SSD,4.7,4,3.2,lenovo,0,unknown
103,"ASUS TUF Dash FX516PR 15.6 Inch Full HD 144 Hz Gaming Laptop (Intel i7-11370H, Nvidia GeForce RTX 3070 8 GB Graphics, 16 GB RAM (8 GB x 2), 512 GB SSD, Windows 10)",1298.99,124,15.6,SSD,3.3,16,4.4,asus,1,i7
104,"Acer Aspire 5 A515-56 15.6 inch Laptop - (Intel Core i5-1135G7, 8GB RAM, 1TB SSD, Full HD Display, Windows 10, Silver) - Amazon Exclusive",699.99,348,15.6,Flash Memory Solid State,4.2,8,4.4,acer,0,i5
105,"HP Chromebook 14-db0003na 14 Inch Laptop - (Grey) (AMD Dual Core A4, 4 GB RAM, 32 GB eMMC, 100 GB Cloud Storage with Google One (1 Year Subscription) Chrome OS)",239.99,1037,14.0,EMMC,2.2,4,4.5,hp,0,amd
106,"New Apple MacBook Air with Apple M1 Chip (13-inch, 8GB RAM, 512GB SSD) - Gold (Latest Model)",1149.0,673,13.3,Flash Memory Solid State,3.1,8,4.8,other_brand,0,unknown
107,"HP EliteBook 840 G1 14-inch Ultrabook (Intel Core i5 4th Gen, 8GB Memory, 256GB SSD, WiFi, WebCam, Windows 10 Professional 64-bit) (Renewed)",385.0,715,14.0,SSD,1.6,8,4.1,hp,0,i5
